name,vmin,vmax
W3OH,-30,-50
G111,-65,-45
S255,0,10
G196.454-1.677,10,22
G188.946+0.886,5,15
G009.621+0.195,-5,10
M_17,15,27
M_17_SWEX,20,33
G022.356+0.066,75,90
G023.706-0.198,71,81
G24.33+0.14,102,120
G028.304-0.387,76,87
G029.955-0.016,90,108
G030.224-0.180,99,118
G030.378-0.295,94,110
G030.817-0.056,83,115
W43,90,110
G033.641-0.227,52,68
G034.244+0.133,50,65
G32.744-0.076,25,45
G043.795-0.127,33,47
G045.472+0.133,52,70
G049.599-0.249,55,71
G075.782+0.342,-10,5
G069.539-0.975,-5,20
G78.122,-10,0
DR21OHN,-11,9
W75N,0,13
G085.410+0.003,-38,-25
CEPA,-10,5
L1206,-15,-5
G107.298+5.639,-20,0